EventIndex,EventDate,EventReturn,EntryDate,EntryPrice,ExitDate,ExitPrice,HoldingPeriod,ForwardReturn,NetReturn,Period
96,2013-05-23,-0.020912330020920522,2013-05-24,6010.7001953125,2013-05-30,6124.0498046875,5,0.018857970900527876,0.016822290638988324,development
102,2013-05-31,-0.022550373328005135,2013-06-03,5997.35009765625,2013-06-07,5881.0,5,-0.01940025107117216,-0.02135949132877213,development
116,2013-06-20,-0.028571445344368618,2013-06-21,5639.89990234375,2013-06-27,5682.35009765625,5,0.007526763958143778,0.005513723470715215,development
149,2013-08-06,-0.025178510712102753,2013-08-07,5549.2998046875,2013-08-14,5742.2998046875,5,0.03477916255974711,0.03271167172546208,development
155,2013-08-16,-0.04082853821736476,2013-08-19,5497.5498046875,2013-08-23,5471.75,5,-0.0046929642484551115,-0.006681589694512047,development
162,2013-08-27,-0.03452018710627225,2013-08-28,5233.4501953125,2013-09-03,5341.4501953125,5,0.0206364818560294,0.01859724812604746,development
180,2013-09-23,-0.020350642149811637,2013-09-24,5855.0,2013-09-30,5735.2998046875,5,-0.020444098260034127,-0.022401252908865188,development
219,2013-11-21,-0.020227359524339406,2013-11-22,6027.35009765625,2013-11-28,6091.85009765625,5,0.01070122009754848,0.0086818370404107,development
264,2014-01-27,-0.020888004522878645,2014-01-28,6131.85009765625,2014-02-03,6001.7998046875,5,-0.021208981122754267,-0.023164607534097326,development
372,2014-07-08,-0.021053878387766067,2014-07-09,7637.9501953125,2014-07-15,7526.64990234375,5,-0.014572010830478654,-0.016540897921726305,development
489,2015-01-06,-0.029963988501869876,2015-01-07,8118.64990234375,2015-01-13,8299.400390625,5,0.022263614080596072,0.020221129337178567,development
530,2015-03-09,-0.02025118178512486,2015-03-10,8769.75,2015-03-16,8633.150390625,5,-0.015576226160951001,-0.01754310682796212,development
543,2015-03-26,-0.022113918786236364,2015-03-27,8396.0,2015-04-06,8659.900390625,5,0.03143168063661261,0.029370878077898288,development
567,2015-05-06,-0.02736399793773192,2015-05-07,8077.0,2015-05-13,8235.4501953125,5,0.019617456396248567,0.0175802586811713,development
586,2015-06-02,-0.023353592405198742,2015-06-03,8232.4501953125,2015-06-09,8022.39990234375,5,-0.02551491815745832,-0.027461941298002723,development
645,2015-08-24,-0.05915098088055637,2015-08-25,7895.39990234375,2015-08-31,7971.2998046875,5,0.00961318024198099,0.007595971090648579,development
651,2015-09-01,-0.023264675971940818,2015-09-02,7856.64990234375,2015-09-08,7688.25,5,-0.02143405961025624,-0.02338923631433154,development
665,2015-09-22,-0.02069675641963653,2015-09-23,7737.35009765625,2015-09-30,7948.89990234375,5,0.027341376830238184,0.025288746706701337,development
734,2016-01-07,-0.022309804329221028,2016-01-08,7611.64990234375,2016-01-14,7536.7998046875,5,-0.009833623277024639,-0.01181197767607145,development
758,2016-02-11,-0.03317073758299127,2016-02-12,7023.64990234375,2016-02-18,7191.75,5,0.023933439165320092,0.021887618108046736,development
